keyword,areas,title,company,location,salary_text,post_date,url,job_id,snapshot_time
Python工程師,桃園市桃園市龜山區,IoT開發工程師,錸特霖科技股份有限公司,桃園市龜山區,"月薪40,000~55,000元",20260112,https://www.104.com.tw/job/8d4pd?jobsource=n104bank2,14049553,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,Battery Mechanical Engineer 電池機構工程師,Gogoro Taiwan Limited_睿能創意股份有限公司,桃園市龜山區,待遇面議,20260105,https://www.104.com.tw/job/7lmn7?jobsource=n104bank2,12766435,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,【IT】AI資深工程師【林口】(可年後上班),神達電腦股份有限公司,桃園市龜山區,待遇面議,20251218,https://www.104.com.tw/job/6qfav?jobsource=n104bank2,11310583,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,Data Analytics Engineer 資料分析工程師 (桃園龜山近林口長庚),Gogoro Taiwan Limited_睿能創意股份有限公司,桃園市龜山區,待遇面議,20260105,https://www.104.com.tw/job/8wzpt?jobsource=n104bank2,14976209,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,Senior Battery Mechanical Engineer 資深電池機構工程師,Gogoro Taiwan Limited_睿能創意股份有限公司,桃園市龜山區,待遇面議,20260105,https://www.104.com.tw/job/8swhu?jobsource=n104bank2,14785410,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,後端工程師,錸特霖科技股份有限公司,桃園市龜山區,"月薪32,000~39,000元",20260112,https://www.104.com.tw/job/8d4ms?jobsource=n104bank2,14049460,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,【明基佳世達集團】軟體開發工程師(達昇能源),羅昇企業股份有限公司,桃園市龜山區,待遇面議,20260112,https://www.104.com.tw/job/7yc93?jobsource=joblist_morej,13359495,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,【資訊】軟體工程師,連鋐科技股份有限公司,桃園市龜山區,"月薪39,000~50,000元",20260109,https://www.104.com.tw/job/8co1k?jobsource=joblist_morej,14027960,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,Iot後端工程師,罡聖科技股份有限公司,桃園市桃園區,待遇面議,20260109,https://www.104.com.tw/job/8vdvs?jobsource=joblist_morej,14901256,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,華亞園區科技大廠｜IT 維運助理工程師(正職/有團隊/帶薪培訓)-【JD-00000102】,威策電腦股份有限公司,桃園市龜山區,"月薪30,000~35,000元",20260106,https://www.104.com.tw/job/7m7xh?jobsource=joblist_morej,12794021,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,資深雲端開發工程師 | Senior Cloud Development Engineer,興聯科技股份有限公司,桃園市龜山區,待遇面議,20260109,https://www.104.com.tw/job/8eco2?jobsource=joblist_morej,14106530,2026-01-12 16:00
Python工程師,桃園市桃園市龜山區,機電工程師,錸特霖科技股份有限公司,桃園市龜山區,待遇面議,20260112,https://www.104.com.tw/job/8vd1j?jobsource=joblist_morej,14900167,2026-01-12 16:00
